Carnet, Nombre, Telefono, Sede, Carrera, Mentor, Correo  
2021005990  , Felisa Aguino Spadoni  , 99523126  , CTCC  , Ingeniería Agronegocios   , 0  , FAguino@estudiantec.cr
2021000060  , Ricky Kaelin Long  , 98709912  , CTCC  , Ingeniería Agronegocios   , 0  , RKaelin@estudiantec.cr
2021012331  , James Poplar Johnson  , 69404724  , CTLSC  , Administración de Empresas   , 0  , JPoplar@estudiantec.cr
2021015276  , Helen Combes Gorman  , 93429849  , CTLSC  , Ingeniería en Agronomía   , 0  , HCombes@estudiantec.cr
2021012812  , Leatrice Daughtrey Sommerfeld  , 87507394  , CTLSC  , Ingeniería en Agronomía   , 0  , LDaughtrey@estudiantec.cr
2021013297  , Jeffrey Biggs Thom  , 71448467  , CTLSC  , Ingeniería en Producción Industrial   , 0  , JBiggs@estudiantec.cr
2021025654  , Nicholas Adams Hilliard  , 60166246  , CTLSJ  , Arquitectura y Urbanismo   , 0  , NAdams@estudiantec.cr
2021020990  , Daniel Davis Pynes  , 95200869  , CTLSJ  , Arquitectura y Urbanismo   , 0  , DDavis@estudiantec.cr
2021026329  , Dallas Guerra Strunk  , 96279597  , CTLSJ  , Arquitectura y Urbanismo   , 0  , DGuerra@estudiantec.cr
2021022436  , John Naegeli Cronin  , 75829991  , CTLSJ  , Administración de Empresas   , 0  , JNaegeli@estudiantec.cr
2021028295  , Laurie Rodriquez Chunn  , 79068288  , CTLSJ  , Administración de Empresas   , 0  , LRodriquez@estudiantec.cr
2021027417  , Karen Viteri Matas  , 96590344  , CTLSJ  , Administración de Empresas   , 0  , KViteri@estudiantec.cr
2021020540  , Bonnie Hawkins Kotula  , 94458958  , CTLSJ  , Administración de Empresas   , 0  , BHawkins@estudiantec.cr
2021029131  , James Losoya Mistrot  , 77665270  , CTLSJ  , Ingeniería en Computación   , 0  , JLosoya@estudiantec.cr
2021027240  , Lorenzo Phillip Smith  , 63919514  , CTLSJ  , Ingeniería en Computación   , 0  , LPhillip@estudiantec.cr
2021023718  , Bonnie Burton Franks  , 70338252  , CTLSJ  , Ingeniería en Computación   , 0  , BBurton@estudiantec.cr
2021024945  , Hector Peters Burnside  , 71487777  , CTLSJ  , Ingeniería en Computación   , 0  , HPeters@estudiantec.cr
2021037963  , Valerie Barker Everett  , 62316603  , CAA  , Ingeniería en Electrónica   , 2021037814  , VBarker@estudiantec.cr
2021032102  , Kathleen Crosier Weissman  , 95285510  , CAA  , Ingeniería en Electrónica   , 0  , KCrosier@estudiantec.cr
2021036953  , Susan Sanders Huggins  , 84046875  , CAA  , Ingeniería en Electrónica   , 0  , SSanders@estudiantec.cr
2021031845  , Lynne Johnson Teets  , 84223066  , CAA  , Ingeniería en Electrónica   , 0  , LJohnson@estudiantec.cr
2021030397  , Robert Miller Wright  , 63096293  , CAA  , Ingeniería en Electrónica   , 0  , RMiller@estudiantec.cr
2021036939  , Amy Harris Mao  , 77591835  , CAA  , Ingeniería en Electrónica   , 0  , AHarris@estudiantec.cr
2021038585  , Ashley Rice Walsh  , 87145393  , CAA  , Ingeniería en Electrónica   , 0  , ARice@estudiantec.cr
2021038649  , Scott Arthur Watkins  , 75400159  , CAA  , Ingeniería en Electrónica   , 0  , SArthur@estudiantec.cr
2021031617  , Michael Damico Peery  , 72258553  , CAA  , Ingeniería en Electrónica   , 0  , MDamico@estudiantec.cr
2021037251  , Amy Johnson Radcliff  , 99119135  , CAA  , Ingeniería en Electrónica   , 0  , AJohnson@estudiantec.cr
2021032636  , Edward Mitchell Green  , 84502262  , CAA  , Ingeniería en Electrónica   , 0  , EMitchell@estudiantec.cr
2021039432  , Kirk Martin High  , 66590866  , CAA  , Ingeniería en Electrónica   , 0  , KMartin@estudiantec.cr
2021032633  , Deena Sowers Bilbrey  , 88456524  , CAA  , Ingeniería en Electrónica   , 0  , DSowers@estudiantec.cr
2021039652  , Catherine Ojeda Petty  , 87734202  , CAA  , Ingeniería en Electrónica   , 0  , COjeda@estudiantec.cr
2021031873  , Sylvia Dobbins Mujalli  , 64548787  , CAA  , Ingeniería en Electrónica   , 0  , SDobbins@estudiantec.cr
2021035939  , Vincent Whitney Shuler  , 72044838  , CAA  , Ingeniería en Electrónica   , 0  , VWhitney@estudiantec.cr
2021031713  , Aisha Ruiz Reeder  , 99518974  , CAA  , Ingeniería en Electrónica   , 0  , ARuiz@estudiantec.cr
2021032131  , Rebecca Anderson Smith  , 73334365  , CAA  , Ingeniería en Electrónica   , 0  , RAnderson@estudiantec.cr
2021040683  , Michael Clement Peel  , 99688571  , CAL  , Administración de Empresas   , 0  , MClement@estudiantec.cr
2021041435  , Dwayne Strissel Morgan  , 62167819  , CAL  , Administración de Empresas   , 0  , DStrissel@estudiantec.cr
2021048556  , Christopher Krajcer Taylor  , 83032463  , CAL  , Administración de Empresas   , 0  , CKrajcer@estudiantec.cr
2021042255  , Anthony Mayfield Crouch  , 84666569  , CAL  , Administración de Empresas   , 0  , AMayfield@estudiantec.cr
2021042674  , Ronald Simpson Trier  , 83455711  , CAL  , Administración de Empresas   , 0  , RSimpson@estudiantec.cr
2021046994  , Colin Adams Conover  , 65624482  , CAL  , Administración de Empresas   , 0  , CAdams@estudiantec.cr
2021045251  , Mary Kahrs Fee  , 60587519  , CAL  , Administración de Empresas   , 0  , MKahrs@estudiantec.cr
2021040936  , George Jordan Zollars  , 75792958  , CAL  , Administración de Empresas   , 0  , GJordan@estudiantec.cr
2021046383  , Robert Mcfadden Singleton  , 86576329  , CAL  , Administración de Empresas   , 0  , RMcfadden@estudiantec.cr
2021042119  , Kenneth Enriguez Parson  , 60711088  , CAL  , Administración de Empresas   , 0  , KEnriguez@estudiantec.cr
2021049580  , Donna Noreen Witcher  , 93481427  , CAL  , Ingeniería en Computación   , 2021046250  , DNoreen@estudiantec.cr
2021049220  , Belinda Day Higgins  , 93296936  , CAL  , Ingeniería en Computación   , 0  , BDay@estudiantec.cr
2021047176  , Eric Goss Thurgood  , 60845899  , CAL  , Ingeniería en Computación   , 0  , EGoss@estudiantec.cr
2021040503  , Frieda Angel Burgo  , 63857513  , CAL  , Ingeniería en Computación   , 0  , FAngel@estudiantec.cr
2021049574  , Katherine Philbert Nunez  , 73233534  , CAL  , Ingeniería en Computación   , 0  , KPhilbert@estudiantec.cr
2021048800  , Patrick Gonzalez Lotzer  , 80595231  , CAL  , Ingeniería en Computación   , 0  , PGonzalez@estudiantec.cr
2021040186  , Michelle Pfundt Bystron  , 98234113  , CAL  , Ingeniería en Computación   , 0  , MPfundt@estudiantec.cr
2021040084  , Mike Taylor Goodin  , 72917525  , CAL  , Ingeniería en Computación   , 0  , MTaylor@estudiantec.cr
2021048924  , Albert Norrell Osborn  , 81006541  , CAL  , Ingeniería en Computación   , 0  , ANorrell@estudiantec.cr
2021046841  , Alfredo Flynn Simon  , 79932347  , CAL  , Ingeniería en Computación   , 0  , AFlynn@estudiantec.cr
2021049992  , Ronald Contreras Stroud  , 75473460  , CAL  , Ingeniería en Computación   , 0  , RContreras@estudiantec.cr
2021046477  , Arthur Gilbreath Placko  , 81790694  , CAL  , Ingeniería en Computación   , 0  , AGilbreath@estudiantec.cr
2021041509  , Kevin Polit Whitrock  , 85244204  , CAL  , Ingeniería en Computación   , 0  , KPolit@estudiantec.cr
2021042228  , David Carpenter Dickinson  , 84333170  , CAL  , Ingeniería en Producción de Industrial   , 0  , DCarpenter@estudiantec.cr
2021048790  , John Dawson Abbenante  , 94418822  , CAL  , Ingeniería en Producción de Industrial   , 0  , JDawson@estudiantec.cr
2021032267  , Desiree Sorensen Plath  ,  0   , CAA  , Ingeniería en Electrónica   ,  0   , DSorensen@estudiantec.cr
2021041911  , Paul Moore Dalton  ,  0   , CAL  , Ingeniería en Computación   ,  0   , PMoore@estudiantec.cr
